planet_name,host_star_name,radius_earth,pl_radj,mass_earth,pl_massj,orbital_period,semimajor_axis,eq_temp_k,density,star_temp_k,star_luminosity,star_metallicity,star_spectype,habitability_score,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled,habitable_binary
7 CMa b,7 CMa,2.42,,196.050555,,796.0,1.93,811.0,1.33,4794.52,-0.02687,0.0882,G0 V,0.6074189989431872,1.0,7.3377699000115095,False,False,False,True,False,False,False,0.0,0.0,25.700979633843783,9.129060074734118,0.0,0.0,-0.8558709324582987,0.0,0.5152380952380953,0
7 CMa c,7 CMa,2.42,,196.050555,,996.0,2.153,811.0,1.33,4826.0,1.06258,0.21,G0 V,0.6074189989431872,1.0,7.671075700785143,False,False,False,True,False,False,False,0.0,0.0,32.249728388013644,10.243823187572639,0.0,0.0,-0.821438337435056,1.08945,1.0952380952380951,0
70 Vir b,70 Vir,2.42,,2380.45,7.49,116.6884,0.484,811.0,1.33,5545.0,-0.02687,-0.012,G0 V,0.6074189989431872,1.0,4.0513880968944855,False,False,False,True,False,False,False,0.0,2184.399445,3.4577746628780943,1.9005961233237936,0.0,0.0,-0.03500136724090785,0.0,0.0380952380952381,0
75 Cet b,75 Cet,2.42,,196.050555,,696.62,1.912,811.0,1.33,4809.0,1.7145,0.1,G3 III,0.6074189989431872,1.0,7.1951403873444475,False,False,False,True,False,False,False,0.0,0.0,22.446906377896777,9.039079195670919,0.0,0.0,-0.8400328137817884,1.7413699999999999,0.5714285714285715,0
75 Cet c,75 Cet,2.42,,196.050555,,2051.62,3.929,811.0,1.33,4809.0,1.7145,0.1,G3 III,0.6074189989431872,1.0,8.994893993773475,False,False,False,True,False,False,False,0.0,0.0,66.8146791873976,19.121936588474945,0.0,0.0,-0.8400328137817884,1.7413699999999999,0.5714285714285715,0
8 UMi b,8 UMi,2.42,,196.050555,,93.31,0.462,811.0,1.33,4847.0,1.72346,-0.03,G0 V,0.6074189989431872,1.0,3.7866688308954366,False,False,False,True,False,False,False,0.0,0.0,2.69227832350567,1.7906194933576616,0.0,0.0,-0.7984686901832103,1.75033,-0.047619047619047616,0
81 Cet b,81 Cet,2.42,,196.050555,,1005.57,2.104,811.0,1.33,4734.0,1.76027,-0.11,G5 III,0.6074189989431872,1.0,7.657622659602619,False,False,False,True,False,False,False,0.0,0.0,32.56308601590067,9.99887523901171,0.0,0.0,-0.9220672682526662,1.78714,-0.42857142857142855,0
91 Aqr b,91 Aqr,2.42,,196.050555,,181.4,0.7,811.0,1.33,4665.0,-0.02687,-0.03,K0 III,0.6074189989431872,0.9,4.851874001711314,False,False,False,False,True,False,False,0.0,0.0,5.576674712279787,2.980366672082182,0.0,0.0,-0.9975389663658737,0.0,-0.047619047619047616,0
AB Aur b,AB Aur,2.42,,2860.455663,9.0,11.0873213,93.9,811.0,1.33,9770.0,1.77085,-0.02,G0 V,0.6074189989431872,1.0,6.948992678476998,False,False,False,True,False,False,False,0.0,2664.4051080000004,0.0,468.881362710424,0.0,0.0,4.586272901285207,1.79772,0.0,0
AB Pic b,AB Pic,2.42,,4290.5,13.5,11.0873213,260.0,811.0,1.33,5577.0,-0.02687,-0.02,K2 V,0.6074189989431872,0.9,7.966830697698004,False,False,False,False,True,False,False,0.0,4094.449445,0.0,1299.2049189547222,0.0,0.0,0.0,0.0,0.0,0
