pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,spec_F,spec_G,spec_K,spec_M,spec_m,st_lum,temp_score,radius_score,dist_score,lum_score,habitability_score,habitable,stellar_temp_score,stellar_mass_score,stellar_compatibility_index,orbital_stability
TOI-1174 b,0.0868851351572734,0.0044787857012471,8.953487683,0.07994,0.2024117140396209,0.4319880418535127,0.76,0.85,0.06,False,False,True,False,False,1.8046954960920458e-17,0.0,0.5434425675786367,0.3866266666666667,0.5,0.1658850722137743,0,-5776.568011958148,0.9210526315789472,0.4605263157894737,0.0019609364530932
TOI-1180 b,0.1090852448417471,0.0044787857012471,9.686760378,0.080799,0.2024117140396209,0.3696348494554772,0.73,0.75,0.06,False,False,True,False,False,8.925390177520487e-18,0.0,0.5545426224208736,0.3871993333333333,0.5,0.1884304553136488,0,-5776.630365150545,0.868421052631579,0.4342105263157895,0.0021443302788548
TOI-1181 b,0.7165168838252595,0.0533879393681678,2.103189,0.06,0.2024117140396209,0.6506512919068974,1.961,1.467,0.38,False,False,True,False,False,6.18355492974072e-16,0.0,0.8582584419126297,0.3733333333333334,0.5000000000000003,0.7482634999799354,1,-5776.349348708094,0.7542105263157894,0.3771052631578947,0.0003457296986301
TOI-1184 b,0.0793980393421176,0.0044787857012471,5.748433803,0.056027,0.2024117140396209,0.3260730301089046,0.69,0.71,0.06,False,False,True,False,False,4.828892624783085e-18,0.0,0.5396990196710588,0.3706846666666666,0.5,0.1278632433910145,0,-5776.673926969892,0.8473684210526315,0.4236842105263158,0.0008823767141936
TOI-1194 b,0.3547945422573031,0.0169686284764248,2.3106446,0.034,0.3161900660350272,0.5097159940209268,0.9608,0.9835,0.348,False,False,True,False,False,5.590734696224994e-17,0.0,0.6773972711286516,0.356,0.5,0.3654589397746619,1,-5776.49028400598,0.9913157894736844,0.4956578947368421,0.0002152381271232
TOI-1199 b,0.4330337680858151,0.0106720190093987,3.671463,0.04988,0.37984496124031,0.5771941063420885,1.45,1.23,0.44,False,False,True,False,False,2.0936949527811112e-16,0.0,0.7165168840429075,0.3665866666666667,0.5000000000000001,0.4614645811982649,1,-5776.422805893659,0.8789473684210526,0.4394736842105263,0.0005017330806575
TOI-1201 b,0.0804862800129252,0.0007091708564464,2.4919863,0.0287,0.1550387596899224,0.1001494768310912,0.508,0.512,0.05,False,False,False,True,False,2.329228064790728e-20,0.0,0.5402431400064626,0.3524666666666666,0.5,0.0937268693161703,0,-5776.89985052317,0.743157894736842,0.371578947368421,0.0001959452241369
TOI-122 b,0.0937628161967771,0.0044787857012471,5.07803,0.0392,0.0884295147861039,0.0845611787315823,0.334,0.312,0.06,False,False,False,True,False,5.1176065806714546e-21,0.0,0.5468814080983886,0.3594666666666667,0.5,0.1200686250683946,0,-5776.915438821269,0.6378947368421053,0.3189473684210526,0.000545366509589
TOI-1224 b,0.0669485660680794,0.0044787857012471,4.1782745,0.0355,0.1085271317829457,0.0681187273115524,0.404,0.4,0.06,False,False,True,False,False,3.1529615984928044e-21,0.0,0.5334742830340398,0.357,0.5,0.0894090470470749,0,-5776.93188127269,0.6842105263157895,0.3421052631578947,0.0004063801226027
TOI-1224 c,0.1009016749972745,0.0044787857012471,17.945466,0.06,0.2024117140396209,0.0681187273115524,0.404,0.4,0.06,False,False,True,False,False,3.1529615984928044e-21,0.0,0.5504508374986372,0.3733333333333334,0.5,0.1537457298716726,0,-5776.93188127269,0.6842105263157895,0.3421052631578947,0.0029499396164383
